embedding,valid_runs,total_runs,condition_number,E_star_k_mean,E_star_k_std,CondVar_mean,CondVar_std,PredErr_mean,PredErr_std,MeanDisp_mean,MeanDisp_std,NeighborDisp_mean,NeighborDisp_std,median_rk_mean,median_rk_std,q90_rk_mean,q90_rk_std,mean_rk_mean,mean_rk_std
x_x_x,30,30,3.090816180484919,0.10876320026597927,0.0036781620042934376,0.20759252695670202,0.019444591460090973,0.08733333531357586,0.0033848809131452637,0.11201352314483887,0.004012359549682713,0.14949350412619766,0.0050584406640546906,0.06616895518915213,0.00025749926882532377,0.19263102321564549,0.002909161800305911,0.13489706358798442,0.0027505073062599195
y_y_y,30,30,3.44652416507327,0.04516365692857454,0.0003715723780205706,0.005043696804494417,0.00023283119946835605,0.03672727291912466,0.0007840299568467089,0.04575904804189967,0.0003909511600234312,0.061876468001282534,0.0004889481576258338,0.0655368443126895,0.00029175255759923143,0.16749375361754446,0.0014899309401469702,0.08566350766005305,0.0005891209244549752
z_z_z,30,30,8.63102661547655,14.249883193567737,0.6300386259875234,5379.015873868016,403.168762047535,12.028794996687276,0.6418510254440931,14.478985325671546,0.6523946351245998,19.443957390444776,0.8484825750747191,0.07003550121892446,0.0019178796870891494,17.078082431103432,0.8030805540591748,21.02571638057696,1.0362595619680002
y_z_y,30,30,55.35812478627792,4.712635747882317,0.18789839239252248,387.91441703707727,19.165767678341904,4.743776157057126,0.19807632905078687,4.849912696606593,0.19499530239533364,5.645539340795169,0.22464104130298038,0.06609733418982314,0.0005456497124626787,0.9298431343125065,0.03405030472023292,0.5437170433820673,0.017347363194144816
x_y_x,30,30,3.59683741956817,0.04538409914801513,0.00036030340762965146,0.005080265757400784,0.00025535696244176673,0.03705618755133715,0.0008002694691915358,0.04598049802783311,0.0003778744179487307,0.062192083324068254,0.00047883265826233494,0.06566126053568247,0.00032133711754764283,0.16715638372969682,0.0017918674865262814,0.08631260244357966,0.0006024602290542174
x_y_y,0,30,inf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
y_z_z,30,30,260.96036125676517,12.008882530343291,0.55405863404082,5143.694465571262,358.06450187734094,12.555869370330205,0.7682534888193036,12.91625509363107,0.6024893405850315,17.105149321457187,0.7790265072500734,0.08287172396048517,0.0027398355801259984,8.052705331473542,0.6681783994859702,6.996054741368119,0.30732359057239844
x_z_z,30,30,281.2859780300304,12.056447922452922,0.5544088476272137,5144.714265042961,358.08368504537924,12.62327711150719,0.7689406660911381,12.972947294028405,0.602649689229627,17.167445751097127,0.7791672258933998,0.07070968717482991,0.0013985224056173049,8.048031856062675,0.6696423909560519,6.967522233129262,0.3076074957484833
x_z_x,30,30,64.42712473872167,4.705605404156142,0.18702708639769478,387.6302136461566,19.11408997465391,4.722315548800351,0.19660768171983936,4.844393876688292,0.19422096363666233,5.639873092385711,0.22385507945627212,0.06292844092594437,0.0006427595399628593,0.917355022893064,0.031822699773303216,0.5392420635826852,0.017346260497019587
y_plus_z,30,30,13.901203036096305,0.7183842803269473,0.03575341394828114,19.58198804207897,1.5314712065506795,0.5720677133644811,0.030231603342823463,0.7636427581524923,0.04001105463605023,1.0147930739427198,0.05045532584560825,0.06283174440666366,0.0005174652451737741,0.39393792712041764,0.03032300845393563,0.4809803795604796,0.021972686518231532
x_plus_z,30,30,33.17345746870677,1.855046892986049,0.10135265968739471,134.66947342900662,10.314284243209805,1.9143945121599466,0.13164251478808736,2.009656725877734,0.11151310291966311,2.5592917596397964,0.1343031553888038,0.0630960742393342,0.0005509766767501519,0.6899612145062297,0.04129412658077455,0.6051982606614519,0.02173132076627412
x_plus_y,30,30,2.5622585163470704,0.08949450730650604,0.0027553279989500604,0.11531914464629749,0.011760402606253443,0.07598211971568601,0.0028174603051058372,0.09193932081875565,0.002986355147040971,0.12298094130196052,0.0037239760681087673,0.06412863542125964,0.00030378576703598013,0.1829819050509424,0.001994658139783672,0.11739622053431549,0.002114924717345417
