embedding,repeat,status,condition_number,E_star_k,CondVar,PredErr,MeanDisp,NeighborDisp,median_rk,q90_rk,mean_rk,n_queries,not_enough_queries
x_x_x,0,ok,3.090816180484919,0.11012405402107625,0.20416676559071406,0.08953115057661495,0.11363288345152932,0.151688581580572,0.06624295789203435,0.19343957812418433,0.1372454075394206,5000,0
x_x_x,1,ok,3.090816180484919,0.11072612287996433,0.21225224643195678,0.0855294742643619,0.1138216882937536,0.15107295944705737,0.06532177333401044,0.1903185562227886,0.13600571230112052,5000,0
x_x_x,2,ok,3.090816180484919,0.11169269510218055,0.21832130273046532,0.09264039768669328,0.11525356355905576,0.15288351917716464,0.06657212718824318,0.19273300895068404,0.13837224267724454,5000,0
x_x_x,3,ok,3.090816180484919,0.10967557792973202,0.20408740451970844,0.08768589269386927,0.11277652144889999,0.15035809935529065,0.06605356297405846,0.19331904636786382,0.13426826781530593,5000,0
x_x_x,4,ok,3.090816180484919,0.10573224537439586,0.17588338056963956,0.0922523454520797,0.10788906424393392,0.1454649673327056,0.06604440690848609,0.19031617490849173,0.1338930083450171,5000,0
x_x_x,5,ok,3.090816180484919,0.10316926061641891,0.18606418414599307,0.08015570337804291,0.10604095348576766,0.14189978650755114,0.06629741480203316,0.18842577330562987,0.12902436740929965,5000,0
x_x_x,6,ok,3.090816180484919,0.11192983434200926,0.24582664235437696,0.08791062767165826,0.11606767976634508,0.15413222482683486,0.06619349712827105,0.1894721042063533,0.13592477731100075,5000,0
x_x_x,7,ok,3.090816180484919,0.10725439650589119,0.1892884221189794,0.08659560796275664,0.10999894156688533,0.14698940988870446,0.065838517101013,0.19370501011971755,0.13427751402257865,5000,0
x_x_x,8,ok,3.090816180484919,0.11295837170567503,0.2270149496844569,0.09143476960868648,0.11697274743109243,0.15589189277483978,0.06627596899047547,0.19199813919498745,0.1401545743245129,5000,0
x_x_x,9,ok,3.090816180484919,0.10696089453547934,0.20173177714315135,0.08370817691134907,0.10993249481516004,0.14713074492329947,0.06592590419025376,0.19156539781481732,0.13404740384908886,5000,0
x_x_x,10,ok,3.090816180484919,0.10735715440581699,0.2045080751419939,0.08386598799800538,0.11027469441576938,0.14747326002152558,0.0667586195544427,0.18996575016100925,0.1320395045288071,5000,0
x_x_x,11,ok,3.090816180484919,0.11222980074127295,0.2276287709724388,0.09037320640779538,0.11583894477183736,0.15338201054451853,0.06621160720834006,0.19679011196228455,0.13485912535507205,5000,0
x_x_x,12,ok,3.090816180484919,0.11022220547084671,0.21889825298575952,0.08813839261552919,0.11390791222637912,0.1518367872967026,0.06591800099174353,0.19482099421743487,0.13802961071695494,5000,0
x_x_x,13,ok,3.090816180484919,0.1139573198645508,0.23100286907678752,0.08762475953206209,0.11720888633183964,0.15671105956086245,0.06617132329915035,0.19505576772080235,0.13492209976970873,5000,0
x_x_x,14,ok,3.090816180484919,0.11156145854514689,0.2150657041760468,0.0892285977212557,0.114908204695302,0.15370790814439947,0.06624719326648977,0.19675464482078794,0.13644857736289573,5000,0
x_x_x,15,ok,3.090816180484919,0.11073165761783473,0.1994360361262013,0.08641043246279033,0.1137810546281951,0.15211371829896556,0.06617626963876423,0.19525480278378338,0.13495546199763075,5000,0
x_x_x,16,ok,3.090816180484919,0.11023696015689864,0.2291429517125473,0.08558874228325844,0.11405486684594969,0.15075803337810567,0.06611318149707607,0.1915534851084567,0.13414307491206887,5000,0
x_x_x,17,ok,3.090816180484919,0.10507328262057263,0.18544016883302225,0.0855232997134174,0.10778116497540298,0.14487770706336636,0.06637476217338784,0.19041744499762409,0.1326129216289197,5000,0
x_x_x,18,ok,3.090816180484919,0.11887206952029232,0.2418562461542927,0.09469848417689636,0.12276335422522888,0.16420069191827388,0.06607212175296134,0.20209294227772556,0.14274443221953476,5000,0
x_x_x,19,ok,3.090816180484919,0.11095981178289807,0.23642618096364412,0.08631712338381331,0.11472402284286955,0.15165711800127066,0.06615566952945331,0.1895309338282026,0.1304996450665946,5000,0
x_x_x,20,ok,3.090816180484919,0.1101775302010569,0.22370498282452664,0.08644105105667173,0.11402228905400726,0.15156969673280263,0.06647431726991916,0.18959894581595438,0.13670224792887106,5000,0
x_x_x,21,ok,3.090816180484919,0.1045405720193881,0.205441466881005,0.08318300221203681,0.10831395115134182,0.14387139962780218,0.06658426093390543,0.1889316557549844,0.13186315413962157,5000,0
x_x_x,22,ok,3.090816180484919,0.10399598119968947,0.1773618684438381,0.0840433421773728,0.10634637606963354,0.14327444843335618,0.06622138604642255,0.19496913005526612,0.13296418775064375,5000,0
x_x_x,23,ok,3.090816180484919,0.10614481610047952,0.20101759967018742,0.08932297062250832,0.10952482239665806,0.14610669731391585,0.06611318149707607,0.19075388366818022,0.1335463281529001,5000,0
x_x_x,24,ok,3.090816180484919,0.1028049316239928,0.19105979243947288,0.08550177678748729,0.10598162330038699,0.1412095481472867,0.06608518596452381,0.19037855466092835,0.13197016633616043,5000,0
x_x_x,25,ok,3.090816180484919,0.10738404096019372,0.19647899453596604,0.0884821611371238,0.10984819678867279,0.1472933787720048,0.06623525049375549,0.1918875817686281,0.13324483085603428,5000,0
x_x_x,26,ok,3.090816180484919,0.10166949035717623,0.16698716158707358,0.081661031200096,0.1042284196421756,0.13982112697014235,0.06621489562191218,0.1949455161982744,0.1339457007969483,5000,0
x_x_x,27,ok,3.090816180484919,0.10816252090273966,0.2080630227915903,0.09370170625100213,0.11160612182838818,0.149551473388752,0.06615406088743911,0.19437712361393022,0.13530596792503075,5000,0
x_x_x,28,ok,3.090816180484919,0.10740886554453791,0.20123037861827264,0.08643467387714746,0.1108770660656517,0.14827758524790752,0.0661958429894185,0.1918875817686281,0.13619954549074506,5000,0
x_x_x,29,ok,3.090816180484919,0.10918208533117021,0.20238820947695205,0.08601517158489336,0.11202718402705286,0.14959928910994943,0.06582539454950333,0.19367105607096094,0.13670204910980172,5000,0
y_y_y,0,ok,3.44652416507327,0.04628476214768846,0.005710081250888968,0.036670659860735796,0.046981855647917715,0.06335832437466148,0.06570737112838262,0.17041132684461868,0.08629339669932462,5000,0
y_y_y,1,ok,3.44652416507327,0.045563318053990824,0.005368243335739705,0.03628751714524755,0.04615248768142327,0.06228813843748935,0.06465714773002873,0.16910153156691102,0.08548771745738057,5000,0
y_y_y,2,ok,3.44652416507327,0.04527654115533304,0.005152815839952957,0.03801127001877043,0.04587344606435014,0.062093537756522314,0.06560867862115619,0.16939635257037566,0.08651358246231385,5000,0
