group,config,embedding,repeat,status,condition_number,pushforward,k,n_samples,theiler_w,noise_level,E_star_k,CondVar,PredErr,MeanDisp,NeighborDisp,median_rk,q90_rk,mean_rk,n_queries,not_enough_queries
baseline,baseline,x_x_x,0,ok,3.090816180484919,20,50,5000,30,0.0,0.11012405402107625,0.20416676559071406,0.08953115057661495,0.11363288345152932,0.151688581580572,0.06624295789203435,0.19343957812418433,0.1372454075394206,5000,0
baseline,baseline,x_x_x,1,ok,3.090816180484919,20,50,5000,30,0.0,0.11072612287996433,0.21225224643195678,0.0855294742643619,0.1138216882937536,0.15107295944705737,0.06532177333401044,0.1903185562227886,0.13600571230112052,5000,0
baseline,baseline,x_x_x,2,ok,3.090816180484919,20,50,5000,30,0.0,0.11169269510218055,0.21832130273046532,0.09264039768669328,0.11525356355905576,0.15288351917716464,0.06657212718824318,0.19273300895068404,0.13837224267724454,5000,0
baseline,baseline,x_x_x,3,ok,3.090816180484919,20,50,5000,30,0.0,0.10967557792973202,0.20408740451970844,0.08768589269386927,0.11277652144889999,0.15035809935529065,0.06605356297405846,0.19331904636786382,0.13426826781530593,5000,0
baseline,baseline,x_x_x,4,ok,3.090816180484919,20,50,5000,30,0.0,0.10573224537439586,0.17588338056963956,0.0922523454520797,0.10788906424393392,0.1454649673327056,0.06604440690848609,0.19031617490849173,0.1338930083450171,5000,0
baseline,baseline,x_x_x,5,ok,3.090816180484919,20,50,5000,30,0.0,0.10316926061641891,0.18606418414599307,0.08015570337804291,0.10604095348576766,0.14189978650755114,0.06629741480203316,0.18842577330562987,0.12902436740929965,5000,0
baseline,baseline,x_x_x,6,ok,3.090816180484919,20,50,5000,30,0.0,0.11192983434200926,0.24582664235437696,0.08791062767165826,0.11606767976634508,0.15413222482683486,0.06619349712827105,0.1894721042063533,0.13592477731100075,5000,0
baseline,baseline,x_x_x,7,ok,3.090816180484919,20,50,5000,30,0.0,0.10725439650589119,0.1892884221189794,0.08659560796275664,0.10999894156688533,0.14698940988870446,0.065838517101013,0.19370501011971755,0.13427751402257865,5000,0
baseline,baseline,x_x_x,8,ok,3.090816180484919,20,50,5000,30,0.0,0.11295837170567503,0.2270149496844569,0.09143476960868648,0.11697274743109243,0.15589189277483978,0.06627596899047547,0.19199813919498745,0.1401545743245129,5000,0
baseline,baseline,x_x_x,9,ok,3.090816180484919,20,50,5000,30,0.0,0.10696089453547934,0.20173177714315135,0.08370817691134907,0.10993249481516004,0.14713074492329947,0.06592590419025376,0.19156539781481732,0.13404740384908886,5000,0
baseline,baseline,y_y_y,0,ok,3.44652416507327,20,50,5000,30,0.0,0.04628476214768846,0.005710081250888968,0.036670659860735796,0.046981855647917715,0.06335832437466148,0.06570737112838262,0.17041132684461868,0.08629339669932462,5000,0
baseline,baseline,y_y_y,1,ok,3.44652416507327,20,50,5000,30,0.0,0.045563318053990824,0.005368243335739705,0.03628751714524755,0.04615248768142327,0.06228813843748935,0.06465714773002873,0.16910153156691102,0.08548771745738057,5000,0
baseline,baseline,y_y_y,2,ok,3.44652416507327,20,50,5000,30,0.0,0.04527654115533304,0.005152815839952957,0.03801127001877043,0.04587344606435014,0.062093537756522314,0.06560867862115619,0.16939635257037566,0.08651358246231385,5000,0
baseline,baseline,y_y_y,3,ok,3.44652416507327,20,50,5000,30,0.0,0.044829229928447546,0.004763063159681816,0.037379291340042586,0.045416243948170475,0.06139965561703818,0.06558963316880637,0.16874083492421532,0.08608985313094358,5000,0
baseline,baseline,y_y_y,4,ok,3.44652416507327,20,50,5000,30,0.0,0.045568171863954135,0.005113792424990198,0.0359691829897493,0.04616085473265668,0.06240486277879054,0.06555280424556109,0.1679124641966003,0.08523118149618654,5000,0
