step,train_dim_loss,val_dim_loss
0,0.06546705961227417,0.13041840493679047
100,0.001457512378692627,0.0033220499753952026
200,0.0008488819003105164,0.003220796585083008
300,0.0013001412153244019,0.003503933548927307
400,0.0017320439219474792,0.0033796727657318115
500,0.0015631839632987976,0.003554224967956543
600,0.0010284706950187683,0.003227517008781433
700,0.0010158568620681763,0.00313626229763031
800,0.000903010368347168,0.0031354427337646484
900,0.0009836256504058838,0.003823891282081604
1000,0.0014816001057624817,0.00331173837184906
1100,0.0008305087685585022,0.003239154815673828
1200,0.0008956342935562134,0.003072381019592285
1300,0.0008554086089134216,0.003138825297355652
1400,0.0010002925992012024,0.0031761974096298218
1500,0.0007719323039054871,0.0030815154314041138
1600,0.0007664859294891357,0.003108292818069458
1700,0.0009659156203269958,0.0030770599842071533
1800,0.0007087439298629761,0.003077954053878784
1900,0.0007208958268165588,0.0030294805765151978
2000,0.0010161995887756348,0.003125131130218506
2100,0.0009187683463096619,0.0033041834831237793
2200,0.0007035285234451294,0.003116205334663391
2300,0.0017130449414253235,0.003161698579788208
2400,0.000838838517665863,0.0032469332218170166
2500,0.0007985532283782959,0.003019869327545166
2600,0.0007342249155044556,0.0030471086502075195
2700,0.0007033273577690125,0.002998173236846924
2800,0.0008408501744270325,0.0030354857444763184
2900,0.0009832978248596191,0.003023207187652588
