step,train_dim_loss,val_dim_loss
0,0.028122663497924805,0.02523350715637207
100,0.0015001296997070312,0.004908442497253418
200,0.0007100105285644531,0.0054111480712890625
300,0.0010384321212768555,0.006616950035095215
400,0.0009363889694213867,0.0057582855224609375
500,0.0012667179107666016,0.006467103958129883
600,0.0005220174789428711,0.0046427249908447266
700,0.0007075071334838867,0.005965232849121094
800,0.0005244016647338867,0.0037401914596557617
900,0.0005161762237548828,0.006144165992736816
1000,0.0007154941558837891,0.003018975257873535
1100,0.0005065202713012695,0.007013082504272461
1200,0.0010249614715576172,0.005971193313598633
1300,0.0005385875701904297,0.0062035322189331055
1400,0.0004363059997558594,0.005923628807067871
1500,0.0006415843963623047,0.00553131103515625
1600,0.0005832910537719727,0.005877494812011719
1700,0.00048661231994628906,0.004713296890258789
1800,0.0005512237548828125,0.0062961578369140625
1900,0.0004956722259521484,0.004501223564147949
2000,0.0005588531494140625,0.005656719207763672
2100,0.0011485815048217773,0.0071773529052734375
2200,0.0003713369369506836,0.005496621131896973
2300,0.0005784034729003906,0.006481289863586426
2400,0.0008857250213623047,0.0047539472579956055
2500,0.0005939006805419922,0.006843090057373047
2600,0.0004241466522216797,0.006085395812988281
2700,0.0010142326354980469,0.005268454551696777
2800,0.0005964040756225586,0.0054367780685424805
2900,0.00040924549102783203,0.008285760879516602
